Change Component Designator: OldDesignator=X2 NewDesignator=X9
Change Component Designator: OldDesignator=X3 NewDesignator=X10
Change Component Designator: OldDesignator=X4 NewDesignator=X11
Change Component Designator: OldDesignator=X5 NewDesignator=X2
Change Component Designator: OldDesignator=X6 NewDesignator=X3
Change Component Designator: OldDesignator=X7 NewDesignator=X4
Change Component Designator: OldDesignator=X8 NewDesignator=X5
Change Component Designator: OldDesignator=X9 NewDesignator=X6
Change Component Designator: OldDesignator=X10 NewDesignator=X7
Change Component Designator: OldDesignator=X11 NewDesignator=X8
Added Pin To Net: NetName=CAN_RX Pin=C24-1
Added Pin To Net: NetName=CAN_RX Pin=C25-1
Added Pin To Net: NetName=CAN_RX Pin=C26-1
Added Pin To Net: NetName=CAN_RX Pin=C27-1
Added Pin To Net: NetName=CAN_RX Pin=C28-1
Added Pin To Net: NetName=CAN_RX Pin=C29-1
Added Pin To Net: NetName=CAN_RX Pin=C30-1
Added Pin To Net: NetName=CAN_RX Pin=C31-1
Added Pin To Net: NetName=CAN_RX Pin=C32-1
Added Pin To Net: NetName=CAN_RX Pin=C33-1
Added Pin To Net: NetName=CAN_RX Pin=C34-1
Added Pin To Net: NetName=CAN_RX Pin=C35-1
Added Pin To Net: NetName=CAN_RX Pin=C36-1
Added Pin To Net: NetName=CAN_RX Pin=C37-1
Added Pin To Net: NetName=CAN_RX Pin=C38-1
Added Pin To Net: NetName=CAN_RX Pin=D1-2
Added Pin To Net: NetName=CAN_RX Pin=D2-2
Added Pin To Net: NetName=CAN_RX Pin=D3-2
Added Pin To Net: NetName=CAN_RX Pin=GK1-2
Added Pin To Net: NetName=CAN_RX Pin=R40-2
Added Pin To Net: NetName=CAN_RX Pin=U4-16
Added Pin To Net: NetName=CAN_RX Pin=U4-24
Added Pin To Net: NetName=CAN_RX Pin=U4-38
Added Pin To Net: NetName=CAN_RX Pin=U4-51
Added Pin To Net: NetName=CAN_RX Pin=U4-61
Added Pin To Net: NetName=CAN_RX Pin=U4-83
Added Pin To Net: NetName=CAN_RX Pin=U4-94
Added Pin To Net: NetName=CAN_RX Pin=U4-107
Added Pin To Net: NetName=CAN_RX Pin=U4-120
Added Pin To Net: NetName=CAN_RX Pin=U4-130
Added Pin To Net: NetName=CAN_RX Pin=X1-B1
Added Pin To Net: NetName=CAN_RX Pin=X1-B4
Added Pin To Net: NetName=CAN_RX Pin=X2-6
Added Pin To Net: NetName=CAN_RX Pin=X2-Gd
Added Pin To Net: NetName=CAN_RX Pin=X2-MP0
Added Pin To Net: NetName=CAN_RX Pin=X2-MP0
Added Pin To Net: NetName=CAN_RX Pin=X2-MP0
Added Pin To Net: NetName=CAN_RX Pin=X2-MP0
Added Pin To Net: NetName=CAN_RX Pin=X2-MP0
Added Pin To Net: NetName=CAN_RX Pin=X2-MP0
Added Pin To Net: NetName=CAN_RX Pin=X10-8
Change Net Name : Old Net Name=CAN_RX New Net Name=GND
Change Net Color : Old Net Color=RGB(158, 161, 117) New Net Color=RGB(110, 110, 255)
Added Room: Name=Module_main
